emailID,subscribe_channelID,subscribeWatch_time
Frank.Hillel@gmail.com,78,9.28
Teddie.Ummersen@gmail.com,55,8.87
Alexine.Eugenia@gmail.com,38,5.78
Caritta.Pitt@gmail.com,104,8.96
Brianna.Jenness@gmail.com,89,2.67
Berget.Graig@gmail.com,78,10.03
Hermione.Toffic@gmail.com,72,7.36
Lila.Ezar@gmail.com,43,7.69
Marylou.Sprage@gmail.com,58,7.37
Gretal.Fairweather@gmail.com,132,3
Devina.Kimmie@gmail.com,76,9.45
Andeee.Anselmi@gmail.com,65,7.58
Cindelyn.Solitta@gmail.com,143,5
Arabel.Hirsch@gmail.com,34,7.81
Jeanna.Ciapas@gmail.com,23,7.02
Myrtice.Hartnett@gmail.com,6,9.33
Pearline.Erich@gmail.com,34,4.98
Livvyy.Alwin@gmail.com,116,3.09
Sean.Abram@gmail.com,25,7.55
Almeta.Boycey@gmail.com,22,8.63
Tressa.Pelagias@gmail.com,76,8.77
Adore.Simmonds@gmail.com,123,3.2
Roslyn.Jenness@gmail.com,165,7.38
Cristabel.Teryn@gmail.com,103,10.74
Carilyn.Screens@gmail.com,128,6.82
Mariele.Dorothy@gmail.com,125,4.07
Pollyanna.Cherianne@gmail.com,65,4.37
Clary.Oscar@gmail.com,128,8.8
Merle.Ax@gmail.com,27,1.58
Fawne.Fillbert@gmail.com,29,3.24
Marnia.Cristi@gmail.com,164,6
Merry.Gombach@gmail.com,85,1.3
Minne.Adlare@gmail.com,152,2.86
Rebeca.Cleo@gmail.com,102,6.38
Gabi.Lipson@gmail.com,44,5.35
Esmeralda.Ricki@gmail.com,66,9.11
Maryellen.Durware@gmail.com,152,2.28
Myriam.Tillford@gmail.com,47,2.19
June.Valerio@gmail.com,46,7.68
Jemie.Wildermuth@gmail.com,142,6.51
Ofilia.McGrody@gmail.com,63,9.84
Agnese.Anselmi@gmail.com,62,3.87
Olwen.Michella@gmail.com,121,1.12
Libbie.Zeeba@gmail.com,23,2.53
Katuscha.Arathorn@gmail.com,144,7.21
Oralee.Rese@gmail.com,44,7.07
Cacilie.Kenney@gmail.com,120,10.4
Isa.Lynn@gmail.com,106,3.96
Lorne.Malvino@gmail.com,101,2.87
Sindee.Shuler@gmail.com,37,6.89
Tabbatha.Slifka@gmail.com,53,5.06
Clementine.Yusuk@gmail.com,157,5.1
Cristine.Clywd@gmail.com,66,9.74
Petronia.Brieta@gmail.com,66,3.97
Hayley.Land@gmail.com,129,5.23
Tera.Firmin@gmail.com,146,9.36
Annice.Melan@gmail.com,115,8.85
Viki.Janene@gmail.com,75,1.73
Kaja.Pozzy@gmail.com,110,5.62
Marline.Hurley@gmail.com,142,3.99
Ruthe.Tippets@gmail.com,78,3.55
Shel.Joli@gmail.com,47,4.09
Brianna.Bandeen@gmail.com,89,1.95
Tori.Killigrew@gmail.com,137,3.66
Mariele.McCutcheon@gmail.com,159,2.79
Nataline.Candy@gmail.com,123,8.31
Roberta.Chaing@gmail.com,58,1.49
Molli.Maisey@gmail.com,32,6.8
Sybille.Sikorski@gmail.com,97,6.45
Desirae.Kenwood@gmail.com,147,7.92
Mellicent.Kunin@gmail.com,131,4.18
Elmira.Elisha@gmail.com,123,6.19
Sam.Kenney@gmail.com,109,5.18
Teddie.Gregrory@gmail.com,39,7.31
Linzy.Candy@gmail.com,51,7.67
Lorie.Grobe@gmail.com,35,3.42
Bee.Ezar@gmail.com,29,2.93
Stephanie.Dorcy@gmail.com,161,4.15
Regina.Lareena@gmail.com,57,8.04
Gui.Gunn@gmail.com,58,2.31
Tori.Sallyann@gmail.com,5,5.36
Sibella.Roarke@gmail.com,61,3.84
Damaris.Vernier@gmail.com,91,4.27
Minne.Blake@gmail.com,63,9.55
Linzy.Kellby@gmail.com,163,6.13
Marguerite.McGrody@gmail.com,1,1.29
Stacey.Earlie@gmail.com,58,5.78
Kayla.Naashom@gmail.com,89,9.06
Amalie.Creamer@gmail.com,136,5.92
Harrietta.Abbot@gmail.com,74,1.14
Charlena.Kosey@gmail.com,164,5.38
Ida.Sprage@gmail.com,118,5.03
Gisela.Chesna@gmail.com,63,9.64
Teddie.Bord@gmail.com,152,1.26
Deedee.Valoniah@gmail.com,37,9.39
Monika.Lasley@gmail.com,126,6.22
Deirdre.Corabella@gmail.com,55,3.49
Kamilah.Desai@gmail.com,3,3.1
Meriel.Behre@gmail.com,157,5.74
Fidelia.Yuille@gmail.com,151,5.37
Justinn.Vilma@gmail.com,99,8.46
Anica.Selway@gmail.com,41,11
Grier.Llovera@gmail.com,84,7.46
Jere.Sawtelle@gmail.com,138,6.04
Carmela.Brandice@gmail.com,61,5.98
Marcy.Isidore@gmail.com,110,2.39
Kial.Alcott@gmail.com,29,6.72
Olwen.Cressida@gmail.com,35,7.61
Allyce.Alva@gmail.com,94,5.17
Kristan.Cynar@gmail.com,121,9.36
Therine.Nadia@gmail.com,128,10.5
Konstance.Mandler@gmail.com,72,3.58
Alejandra.Henebry@gmail.com,35,1.85
Vanessa.Bollay@gmail.com,114,1.69
Larine.Dorcy@gmail.com,24,5.75
Joleen.Zrike@gmail.com,103,6.1
Peri.Federica@gmail.com,40,3.73
Christian.Zaslow@gmail.com,151,1.11
Di.Hanleigh@gmail.com,10,9.38
Harrietta.Curren@gmail.com,161,5.35
Gusty.Bivins@gmail.com,27,7.82
Zondra.Miru@gmail.com,40,2.28
Emma.Solitta@gmail.com,58,9.75
Helena.Toor@gmail.com,52,2.95
Meriel.Means@gmail.com,9,2.31
Meghann.Stuart@gmail.com,110,2.29
Cristine.Dex@gmail.com,85,2.94
Kathy.Dorothy@gmail.com,31,4.2
Madelle.Mata@gmail.com,67,3.55
Dania.Carri@gmail.com,17,6.05
Janeczka.Bartlett@gmail.com,128,4.48
Angela.Atcliffe@gmail.com,39,2.02
Kary.Melony@gmail.com,163,6.84
Marti.Torray@gmail.com,69,9.71
Oralee.Ricki@gmail.com,134,2.48
Sophia.Eben@gmail.com,27,10.26
Agathe.Kunin@gmail.com,127,8.49
Mureil.Monk@gmail.com,134,9.69
Rhoda.Lasley@gmail.com,94,5.72
Ruthe.Arathorn@gmail.com,2,8.78
Alyssa.Dalli@gmail.com,48,3.01
Violet.Socha@gmail.com,124,5.4
Hermione.Krystle@gmail.com,14,6
Dotty.Brandice@gmail.com,65,4.43
Lily.Aldric@gmail.com,26,9.4
Codie.Hamil@gmail.com,80,7.35
Nikki.Ovid@gmail.com,100,9.31
Judy.Jefferey@gmail.com,156,3.59
Meg.Ogren@gmail.com,86,9.76
Rebeca.Pitt@gmail.com,89,1.43
Anthia.Felecia@gmail.com,1,3.51
Amii.Verger@gmail.com,103,8
Brianna.Maroney@gmail.com,38,3.55
Daphne.Redmond@gmail.com,47,2.03
Andeee.Millda@gmail.com,79,1.44
Layla.Presber@gmail.com,166,3.79
Sam.Koehler@gmail.com,44,10.04
Valeda.McAdams@gmail.com,152,10.5
Hope.Doig@gmail.com,55,3.89
Lolita.Rosette@gmail.com,86,2.54
Fayre.Telfer@gmail.com,99,10.83
Myriam.Amasa@gmail.com,53,7.22
Mellicent.Autrey@gmail.com,37,2.23
Daphne.Jefferey@gmail.com,54,9.74
Robinia.Tufts@gmail.com,104,8.05
Consuela.Tjon@gmail.com,76,4.4
Jacenta.Aprile@gmail.com,47,6.33
Jessy.Nore@gmail.com,131,6.06
Daryl.Holbrook@gmail.com,132,10.62
Elmira.Danby@gmail.com,65,6.43
Stephanie.Dreda@gmail.com,102,4.16
Tierney.Harday@gmail.com,119,8.9
Alyssa.Bahr@gmail.com,85,7.53
Ardenia.Fancie@gmail.com,107,3.84
Jennica.Estella@gmail.com,69,7.61
Libbie.Kathie@gmail.com,137,7.02
Chastity.Dimitris@gmail.com,76,6.47
Renae.Lindemann@gmail.com,18,1.24
Josephine.Viddah@gmail.com,156,3.93
Elena.Alice@gmail.com,15,4.36
Christian.Lowry@gmail.com,113,7.98
Courtnay.Weaks@gmail.com,26,10.33
Lanae.Naashom@gmail.com,89,3.86
Valeda.Larochelle@gmail.com,5,6.76
Alameda.Ursulette@gmail.com,107,8.83
Nonnah.Poppy@gmail.com,70,7.76
Oona.Corabella@gmail.com,128,8.62
Kristina.Nisbet@gmail.com,148,4.43
Angelique.Fitzsimmons@gmail.com,125,3.88
Latisha.Roumell@gmail.com,69,4.4
AasthaDubey210@gmail.com,162,345.97
Ekaterina.Ortrude@gmail.com,127,9.71
Devina.Seumas@gmail.com,35,9.06
Marita.Bury@gmail.com,56,6.23
Valera.Romelda@gmail.com,43,6.93
Jean.Elisha@gmail.com,147,5.71
Katharina.Magdalen@gmail.com,160,2.25
Carolina.Anton@gmail.com,70,9.37
Ira.Lia@gmail.com,35,3.45
Deirdre.Goldina@gmail.com,102,10.39
Kara-Lynn.Lamoree@gmail.com,30,6.6
Lilith.Thunell@gmail.com,139,5.84
Suzette.Ellerey@gmail.com,121,4.26
Ariela.Corabella@gmail.com,162,785.86
Sheree.Shelba@gmail.com,149,4.52
Maurene.Liva@gmail.com,25,7.55
Shirlee.Auberbach@gmail.com,1,6.12
Riannon.Hubert@gmail.com,152,9.52
Emma.Randene@gmail.com,118,1.17
Aurore.Donoghue@gmail.com,48,5.44
Kara-Lynn.Si@gmail.com,35,10.04
Hermione.Bettine@gmail.com,165,3.95
Coral.Cloris@gmail.com,14,3.35
Collen.Infield@gmail.com,34,3.6
Tierney.Wind@gmail.com,103,10.1
Marjie.Yoko@gmail.com,49,3.57
Molli.Remmer@gmail.com,125,9.38
Correy.Clarissa@gmail.com,56,6.23
Ilse.Haerr@gmail.com,43,8.8
Kristina.Jess@gmail.com,62,3.26
Melina.Ahab@gmail.com,7,7.49
Jaime.Fadiman@gmail.com,97,5.88
Mellicent.Maxi@gmail.com,158,3.54
Nannie.Seligman@gmail.com,34,10.16
Cordi.Chrystel@gmail.com,61,5.49
Lily.Ardeha@gmail.com,34,1.14
Lorenza.Letsou@gmail.com,79,3.45
Binny.Bivins@gmail.com,49,3.17
Lonnie.Chesna@gmail.com,9,7.85
Lenna.Mata@gmail.com,32,8.24
Suzette.Marden@gmail.com,82,5.93
Kathy.Lane@gmail.com,111,9.08
Ileana.Emerson@gmail.com,8,1.72
Betta.Lytton@gmail.com,56,3.94
Elmira.Secrest@gmail.com,81,3.13
Yvonne.Bartlett@gmail.com,75,9.68
Clementine.Emmaline@gmail.com,151,8.44
Cyndie.Erskine@gmail.com,147,6.78
Corina.Verger@gmail.com,154,8.14
Reeba.Marden@gmail.com,134,10.35
June.Adore@gmail.com,11,6.55
Donnie.Nadia@gmail.com,63,10.12
Raina.Greyson@gmail.com,78,6.76
Marline.Bryna@gmail.com,9,4.29
Margalo.Evangelia@gmail.com,60,8.13
Ira.Nadia@gmail.com,81,4.77
Karina.Artie@gmail.com,36,10.27
Ardys.Myrilla@gmail.com,67,9.21
Raquela.Weaks@gmail.com,17,5.55
Wendi.Campball@gmail.com,45,6.3
Gavrielle.Allys@gmail.com,59,6.13
Elka.Syd@gmail.com,58,4.52
Dotty.Hazlett@gmail.com,98,6.95
Catrina.Shields@gmail.com,164,8.29
Gabi.Himelman@gmail.com,56,5.15
Gerianna.Fancie@gmail.com,77,8.7
Nadine.Timon@gmail.com,39,4.93
Annabela.Hebner@gmail.com,160,5.71
Edyth.Si@gmail.com,141,2.53
Imojean.Eliathas@gmail.com,61,3.36
Jennica.Greyson@gmail.com,141,4.55
Aubrie.Magnolia@gmail.com,56,10.61
Debee.Blisse@gmail.com,117,5.44
Fredericka.Narton@gmail.com,62,1.02
Hope.Malanie@gmail.com,90,2.45
Rochette.Maryanne@gmail.com,34,6.3
Dulcinea.Rustice@gmail.com,160,8.53
Calla.Rudolph@gmail.com,23,3.52
Harrietta.Grosz@gmail.com,124,7.89
Merci.Bebe@gmail.com,42,3.28
Melina.Corrine@gmail.com,149,10.77
Corene.Noam@gmail.com,149,10.27
Jeanna.Pond@gmail.com,117,4.16
Ericka.Kathie@gmail.com,98,8.25
Yolane.Capello@gmail.com,40,2.05
Juliane.Raseda@gmail.com,109,6.04
Delilah.Hailee@gmail.com,110,5.76
Minda.Ochs@gmail.com,6,3.03
Correy.Yerkovich@gmail.com,54,4.31
Ronna.Aurelio@gmail.com,10,10.01
Janis.Suanne@gmail.com,80,6.94
Tatiania.Trinetta@gmail.com,95,3.92
Kamilah.McGrody@gmail.com,113,1.37
Inga.Kiyoshi@gmail.com,166,10.5
Aigneis.Gaynor@gmail.com,122,2.1
Amalie.Soneson@gmail.com,97,1.27
Mildrid.Nadia@gmail.com,65,9.4
Allyce.Juliet@gmail.com,118,2.42
Noelle.Tiffa@gmail.com,127,3.89
Willetta.Jary@gmail.com,158,10.1
Rori.Dielu@gmail.com,128,1.97
Jackie.Zamora@gmail.com,74,3.94
Leia.Barbey@gmail.com,143,5.07
Collen.Blisse@gmail.com,37,9.8
Valeda.Rosalba@gmail.com,154,3.77
Neila.Lemuela@gmail.com,50,1.89
Edee.Carlson@gmail.com,151,6
Rosabelle.Hunfredo@gmail.com,122,5.13
Concettina.Shelba@gmail.com,15,9.47
Kary.Goddard@gmail.com,92,3.2
Louella.Rodmann@gmail.com,142,2.91
Stephanie.Jacqui@gmail.com,13,2.69
Merle.Anselmi@gmail.com,60,3.29
Janey.Seessel@gmail.com,143,8.59
Grier.Jacobah@gmail.com,45,5.12
Daryl.Joseph@gmail.com,18,3.41
Marnia.Saunderson@gmail.com,117,2.56
Tabbatha.Tryck@gmail.com,4,6.87
Sam.Kannry@gmail.com,159,6.5
Sherrie.Chaing@gmail.com,4,5.36
Shell.Naor@gmail.com,62,8.73
Bernie.Karylin@gmail.com,150,6.85
Binny.Hazlett@gmail.com,72,8.03
Thalia.Rhu@gmail.com,112,10.63
Shirlee.Atonsah@gmail.com,164,10.47
Adele.Morgun@gmail.com,33,5.4
Micheline.Byrne@gmail.com,135,9.45
Shell.Hutchison@gmail.com,107,1.93
Dorthy.Burkle@gmail.com,162,6.28
Clementine.Fry@gmail.com,165,9.86
Dianemarie.MacIntosh@gmail.com,3,9.4
Chastity.Warthman@gmail.com,82,2.21
Maud.Old@gmail.com,116,8.46
Yetty.Tiffa@gmail.com,61,10.31
Ekaterina.Brieta@gmail.com,83,10.82
Rosabelle.Nance@gmail.com,12,3.13
Joelly.Suanne@gmail.com,130,5.81
Lila.Roumell@gmail.com,134,6.9
Tierney.Giff@gmail.com,134,4.39
Reeba.McAdams@gmail.com,52,4.66
Sabina.Seagraves@gmail.com,75,6.33
Julieta.Anestassia@gmail.com,120,4.05
Neila.Dosia@gmail.com,113,8.18
Dari.Fry@gmail.com,67,2.8
Anthia.Sherrie@gmail.com,77,2.44
Candi.Kimmie@gmail.com,23,6.06
Basia.Bow@gmail.com,57,9.57
Shaylyn.Santoro@gmail.com,14,4.76
Norine.Ball@gmail.com,127,9.88
Vonny.Wittie@gmail.com,121,9.69
Cassandra.Birdella@gmail.com,20,3.53
Lila.Malina@gmail.com,27,6.93
Esmeralda.Irmine@gmail.com,166,1.19
Charlena.Deegan@gmail.com,72,9.31
Karolina.Jalbert@gmail.com,34,1.99
Genevra.Bendick@gmail.com,102,10.75
Maridel.Cassius@gmail.com,142,8.92
Carilyn.Salchunas@gmail.com,133,1.81
Starla.Fry@gmail.com,124,9.57
Genevra.Maisey@gmail.com,100,9.12
Lanna.Zola@gmail.com,155,10.54
Ayn.Candy@gmail.com,73,9.85
Delilah.Thomasina@gmail.com,139,2.63
Aurelie.Dowski@gmail.com,47,3.37
Quintina.Ochs@gmail.com,143,4.45
Devina.Anselmi@gmail.com,118,9.62
Roberta.Fabiola@gmail.com,41,6.67
Cecile.Eliathas@gmail.com,137,6.87
Almeta.Cecile@gmail.com,145,2.75
Winifred.Fredi@gmail.com,104,2.04
Nataline.Laverne@gmail.com,138,8.52
Amalie.Denis@gmail.com,38,1.18
Deane.Grosz@gmail.com,104,9.07
Calla.Duwalt@gmail.com,56,2.47
Nicoli.Chick@gmail.com,44,9.45
Harmonia.Estella@gmail.com,10,2.31
Cathyleen.Quinn@gmail.com,135,10.09
Yolane.Toffic@gmail.com,115,10.95
Sophia.Solitta@gmail.com,167,2.78
Briney.Irmine@gmail.com,4,6.79
Nickie.O'Rourke@gmail.com,2,3.2
Bertine.Anyah@gmail.com,137,7.2
Joeann.Eugenia@gmail.com,159,6.57
Konstance.Koziara@gmail.com,141,2.02
Blondelle.Dorothy@gmail.com,124,8.93
Averyl.Harned@gmail.com,43,4.05
Randa.Destinee@gmail.com,116,5.56
Anica.Katrine@gmail.com,18,8.79
Catharine.Pillsbury@gmail.com,150,9.91
Gilda.Masao@gmail.com,146,7.29
Tami.Podvin@gmail.com,163,5.87
Annora.Yuille@gmail.com,26,6.83
Raf.Hachmin@gmail.com,46,3.39
Myriam.Percy@gmail.com,39,1.78
Olivette.Allare@gmail.com,90,8.29
Dale.Thunell@gmail.com,66,2.85
Merci.Zaslow@gmail.com,134,9.42
Willetta.Therine@gmail.com,2,9.44
Kaia.Anton@gmail.com,121,10.87
Miquela.Korey@gmail.com,122,7.71
Winifred.Morrill@gmail.com,99,1.48
Dagmar.Oriana@gmail.com,150,1.6
Mireielle.Jerald@gmail.com,53,10.85
Chere.Lareena@gmail.com,118,9.44
Neila.Bakerman@gmail.com,135,3.89
Jere.Eiser@gmail.com,137,10.52
Ivett.Dahlia@gmail.com,78,5.72
Jaime.Eugenia@gmail.com,4,4.8
Gilda.Alice@gmail.com,94,7.59
Vinita.Atcliffe@gmail.com,25,9.79
Iseabal.Ursulette@gmail.com,57,1.07
Janeczka.McNully@gmail.com,38,3.53
Pamella.Solitta@gmail.com,133,7.21
Joy.Sammons@gmail.com,17,5.55
Marinna.Goth@gmail.com,11,4.49
Almeta.Cressida@gmail.com,93,6.07
Sam.Stacy@gmail.com,121,3.15
Fernande.Huggins@gmail.com,89,7.9
Peri.Vary@gmail.com,150,2.6
Maridel.Smitt@gmail.com,34,4.52
Chrystel.Geffner@gmail.com,85,10.51
Sheelagh.Vorster@gmail.com,113,7.68
Jorry.Corabella@gmail.com,121,5.93
Queenie.Tamar@gmail.com,84,5.72
Berta.Kalinda@gmail.com,52,2.97
Aaren.Ferrell@gmail.com,98,6.52
Sophia.Torray@gmail.com,99,9.39
Maud.Wesle@gmail.com,128,3.51
Misha.Ade@gmail.com,80,4.23
Atlanta.Eldrid@gmail.com,83,10.24
Brena.Drus@gmail.com,154,6.37
Brianna.Tryck@gmail.com,51,4.88
Helena.Tamsky@gmail.com,28,6.85
Karina.Monk@gmail.com,82,6.25
Judy.Eben@gmail.com,157,9.83
Sallie.Hailee@gmail.com,61,8.06
Edith.Briney@gmail.com,10,10.6
Hannis.Gunn@gmail.com,51,1.52
Merci.Miru@gmail.com,141,9.7
Edith.Peg@gmail.com,24,3.56
Pamella.Hanleigh@gmail.com,50,10.08
Charmaine.Lissi@gmail.com,90,8.83
Bettine.Tristram@gmail.com,121,3.48
Dominga.Jerold@gmail.com,136,7.54
Tamqrah.Delp@gmail.com,154,1.15
Shannah.Suanne@gmail.com,1,10.68
Corly.Dorothy@gmail.com,46,5.44
Celestyna.Ivens@gmail.com,26,6.14
Shauna.Ax@gmail.com,68,4.82
Dorothy.Callista@gmail.com,30,2.63
Teddie.Maribeth@gmail.com,29,6.81
Georgina.Rebecka@gmail.com,64,7.58
Gusty.Michella@gmail.com,144,9.02
Marguerite.Kiyoshi@gmail.com,16,4.4
Rubie.Federica@gmail.com,90,1.04
Fanchon.Kiersten@gmail.com,166,2.42
Clementine.Clarissa@gmail.com,86,1.03
Pollyanna.Norrie@gmail.com,82,10.05
Berget.Huggins@gmail.com,137,10.42
Ninnetta.Lesley@gmail.com,41,1.12
Jobi.Cecile@gmail.com,35,5.04
Dorene.Reinke@gmail.com,90,7.55
Myriam.Faso@gmail.com,14,5.65
Asia.Minetta@gmail.com,60,6.99
Kara-Lynn.Kalinda@gmail.com,134,8.63
Agnese.Ajay@gmail.com,151,10.92
Alleen.Felecia@gmail.com,159,3.37
Stephanie.Japeth@gmail.com,153,5.96
Sonni.Blake@gmail.com,107,10.6
Annecorinne.Infield@gmail.com,40,4.6
Lucille.Bach@gmail.com,144,8.05
Modestia.Docilla@gmail.com,61,4.75
Elena.Vittoria@gmail.com,70,5.02
Roz.Juliet@gmail.com,10,9.72
Ardeen.Grosz@gmail.com,157,9.39
Jany.Land@gmail.com,108,2.79
Roseline.Dominy@gmail.com,145,1.51
Leontine.Ashok@gmail.com,99,4.01
Kara-Lynn.Raseda@gmail.com,98,2.85
Maisey.Brodench@gmail.com,111,4.18
Nita.Fredi@gmail.com,147,6.26
Marcy.Masao@gmail.com,23,2.8
Babita.Dielu@gmail.com,164,9.84
Lucille.Fiester@gmail.com,9,5.72
Lorenza.Jammal@gmail.com,166,6.26
Consuela.Nance@gmail.com,99,2.13
Dagmar.Sigfrid@gmail.com,77,8.06
Peri.Even@gmail.com,140,9.97
Aubrie.Talia@gmail.com,29,10.76
Queenie.Damarra@gmail.com,4,1.35
Sharlene.O'Carroll@gmail.com,111,2.48
Keelia.LaRue@gmail.com,129,8.16
Micheline.Bahr@gmail.com,122,1.09
Flo.Deny@gmail.com,36,2.51
Lorenza.Creamer@gmail.com,156,5.65
Gwenneth.Philipp@gmail.com,132,8.3
Jackie.Jerold@gmail.com,28,4.06
Tiffie.Herrera@gmail.com,14,8.39
Loree.Ethban@gmail.com,159,10.21
Estell.Herrera@gmail.com,4,4.14
Ekaterina.Lubin@gmail.com,95,10.2
Karly.Hazlett@gmail.com,3,7.82
Arlena.Doig@gmail.com,15,10.18
Alie.Frendel@gmail.com,105,8.38
Chandra.Gilmour@gmail.com,114,6.88
Shaylyn.Phyllis@gmail.com,113,8.68
Ninnetta.Dunkin@gmail.com,157,9.75
Giustina.Kelula@gmail.com,59,7.36
Amii.Cornelia@gmail.com,83,9.89
Jorry.Zuzana@gmail.com,143,8.36
Maud.Ellord@gmail.com,28,7.98
Adore.Sawtelle@gmail.com,86,1.21
Cordi.Bartlett@gmail.com,144,5.68
Dawn.Brodench@gmail.com,102,9.58
Brandise.Bollay@gmail.com,13,9.59
Eugine.Cordi@gmail.com,149,2.21
Giustina.Nelsen@gmail.com,156,9.91
Fawne.Dom@gmail.com,130,1.06
Diena.Dalli@gmail.com,49,3.08
Shauna.Himelman@gmail.com,165,5.33
Annora.Suanne@gmail.com,32,3.18
Ileana.Felizio@gmail.com,129,3.89
Adele.Modie@gmail.com,94,5.52
Meriel.Luhe@gmail.com,40,2.92
Deloria.Schalles@gmail.com,112,2.51
Ulrike.Belldas@gmail.com,104,2.28
Marnia.Juliet@gmail.com,63,6.24
Stevana.Zetta@gmail.com,119,4.49
Ursulina.Aprile@gmail.com,18,5.4
Morganica.Sibyls@gmail.com,90,8.96
Roberta.Monaco@gmail.com,123,3.62
