emailID,commentchannelID,commentWatch_time
Gusty.Yerkovich@gmail.com,60,249.96
Thalia.Freddi@gmail.com,20,912.23
Bobinette.Ehrman@gmail.com,3,455.86
Regina.Carolin@gmail.com,38,490.3
Halette.Cynar@gmail.com,122,136.77
Dulce.LaRue@gmail.com,16,719.82
Kate.Leary@gmail.com,44,181.76
Evita.Lipson@gmail.com,121,255.08
AasthaDubey210@gmail.com,162,1000.1
Elora.Faso@gmail.com,28,189.85
Genevra.Stephie@gmail.com,7,486.04
Damaris.Lissi@gmail.com,160,849.23
Bobbi.Nunci@gmail.com,131,269.19
Robbi.Noman@gmail.com,93,253.5
Ernesta.Rosette@gmail.com,149,67.85
Modestia.Lia@gmail.com,93,609.69
Brietta.Loeb@gmail.com,90,863.66
Nanete.Giff@gmail.com,52,784.2
Aurore.Merell@gmail.com,100,360.46
Gabriellia.Estella@gmail.com,150,858.17
Adriana.Verger@gmail.com,55,778.04
Myriam.Knowling@gmail.com,79,481.02
Luci.Kat@gmail.com,111,409.25
Wanda.Jacinda@gmail.com,157,761.89
Robbi.Ogren@gmail.com,12,267.29
Pierette.Jethro@gmail.com,150,865.99
Tomasina.Stover@gmail.com,127,857.37
Melisent.Dawkins@gmail.com,162,723.5
Laurene.Moina@gmail.com,73,701.85
Lolita.Yuille@gmail.com,15,940.83
Annice.O'Rourke@gmail.com,72,798.42
Dolli.Raama@gmail.com,64,654.67
Deane.Adamsen@gmail.com,96,966.85
Blondelle.Arne@gmail.com,51,482.84
Quintina.Minetta@gmail.com,119,988.44
Tani.Margret@gmail.com,159,360.14
Margette.Celestine@gmail.com,143,829.16
Katleen.Eugenia@gmail.com,133,987.11
Jenda.Chrystel@gmail.com,19,97.49
Sashenka.Carri@gmail.com,64,153.02
Debee.Delila@gmail.com,125,719.72
Lily.Land@gmail.com,64,684.14
Loree.Penelopa@gmail.com,70,806.04
Sharai.Salvidor@gmail.com,59,234.96
Aryn.Donell@gmail.com,141,530.73
Blinni.Lattie@gmail.com,53,523.2
Violet.Ventre@gmail.com,88,520.43
Violet.Berriman@gmail.com,62,111.44
Jessamyn.Tannie@gmail.com,143,148.23
Gwenneth.Aida@gmail.com,120,531.94
Ermengarde.Lory@gmail.com,121,71.91
Olivette.Elsinore@gmail.com,55,188.68
Alameda.Breed@gmail.com,18,350.48
Camile.Diann@gmail.com,86,588.92
Karena.Chandler@gmail.com,6,764.52
Shel.Hathaway@gmail.com,165,587.49
Linet.Tomasina@gmail.com,73,578.91
Feliza.Gombach@gmail.com,48,747.98
Farrah.Love@gmail.com,4,904.64
Yvonne.Clywd@gmail.com,165,69.63
Edith.Atonsah@gmail.com,67,533.2
Lila.Soneson@gmail.com,138,840.23
Ada.Raffo@gmail.com,126,286.33
Brandise.Baudin@gmail.com,41,526.58
Gwyneth.Marden@gmail.com,21,613.49
Mamie.Camden@gmail.com,29,272
Frank.Hillel@gmail.com,113,910.92
Teddie.Ummersen@gmail.com,2,784.5
Alexine.Eugenia@gmail.com,28,472.78
Caritta.Pitt@gmail.com,129,716.58
Brianna.Jenness@gmail.com,126,867.79
Berget.Graig@gmail.com,17,269.48
Hermione.Toffic@gmail.com,8,891.36
Lila.Ezar@gmail.com,55,138.34
Marylou.Sprage@gmail.com,49,471.23
Gretal.Fairweather@gmail.com,27,289.19
Devina.Kimmie@gmail.com,147,119.01
Andeee.Anselmi@gmail.com,140,102.06
Cindelyn.Solitta@gmail.com,162,59.49
Arabel.Hirsch@gmail.com,165,18.09
Jeanna.Ciapas@gmail.com,138,402.58
Myrtice.Hartnett@gmail.com,119,297.35
Pearline.Erich@gmail.com,90,967.32
Livvyy.Alwin@gmail.com,143,932.69
Sean.Abram@gmail.com,45,12.17
Almeta.Boycey@gmail.com,157,566.33
Tressa.Pelagias@gmail.com,56,275.63
Adore.Simmonds@gmail.com,155,994.72
Roslyn.Jenness@gmail.com,81,62.31
Cristabel.Teryn@gmail.com,89,922.57
Carilyn.Screens@gmail.com,15,643.21
Mariele.Dorothy@gmail.com,76,24.96
Pollyanna.Cherianne@gmail.com,59,864.07
Clary.Oscar@gmail.com,132,58.04
Merle.Ax@gmail.com,36,599.77
Fawne.Fillbert@gmail.com,98,912.31
Marnia.Cristi@gmail.com,55,582.61
Merry.Gombach@gmail.com,139,877.67
Minne.Adlare@gmail.com,142,178.75
Rebeca.Cleo@gmail.com,100,276.16
Gabi.Lipson@gmail.com,149,775.38
Esmeralda.Ricki@gmail.com,68,324.56
Maryellen.Durware@gmail.com,17,380.39
Myriam.Tillford@gmail.com,64,780.47
June.Valerio@gmail.com,50,637.55
Jemie.Wildermuth@gmail.com,66,159.59
Ofilia.McGrody@gmail.com,72,130.79
Agnese.Anselmi@gmail.com,135,79.02
Olwen.Michella@gmail.com,161,40.44
Libbie.Zeeba@gmail.com,117,17.86
Katuscha.Arathorn@gmail.com,70,758.24
Oralee.Rese@gmail.com,159,495.1
Cacilie.Kenney@gmail.com,67,299.39
Isa.Lynn@gmail.com,51,807.89
Lorne.Malvino@gmail.com,165,8.82
Sindee.Shuler@gmail.com,109,102.45
Tabbatha.Slifka@gmail.com,55,540.02
Clementine.Yusuk@gmail.com,34,163.89
Cristine.Clywd@gmail.com,126,611.12
Petronia.Brieta@gmail.com,43,152.65
Hayley.Land@gmail.com,131,296.85
Tera.Firmin@gmail.com,11,791.71
Annice.Melan@gmail.com,40,207.53
Viki.Janene@gmail.com,70,654.09
Kaja.Pozzy@gmail.com,21,699.19
Marline.Hurley@gmail.com,90,427.51
Ruthe.Tippets@gmail.com,61,290.94
Shel.Joli@gmail.com,144,991.67
Brianna.Bandeen@gmail.com,161,574.92
Tori.Killigrew@gmail.com,41,93.87
Mariele.McCutcheon@gmail.com,48,4.07
Nataline.Candy@gmail.com,92,896.98
Roberta.Chaing@gmail.com,19,419.85
Molli.Maisey@gmail.com,50,314
Sybille.Sikorski@gmail.com,92,774.54
Desirae.Kenwood@gmail.com,149,536.65
Mellicent.Kunin@gmail.com,89,222.61
Elmira.Elisha@gmail.com,28,7.71
Sam.Kenney@gmail.com,14,320.42
Teddie.Gregrory@gmail.com,73,69.46
Linzy.Candy@gmail.com,80,152.1
Lorie.Grobe@gmail.com,142,218.76
Bee.Ezar@gmail.com,27,101.26
Stephanie.Dorcy@gmail.com,162,749.86
Regina.Lareena@gmail.com,103,286.51
Gui.Gunn@gmail.com,88,416.68
Tori.Sallyann@gmail.com,113,756.61
Sibella.Roarke@gmail.com,116,75.96
Damaris.Vernier@gmail.com,14,365.32
Minne.Blake@gmail.com,15,401.7
Linzy.Kellby@gmail.com,68,633.15
Marguerite.McGrody@gmail.com,60,590.94
Stacey.Earlie@gmail.com,161,961.27
Kayla.Naashom@gmail.com,74,444.33
Amalie.Creamer@gmail.com,150,326.06
Harrietta.Abbot@gmail.com,26,188.35
Charlena.Kosey@gmail.com,129,649.35
Ida.Sprage@gmail.com,62,862.66
Gisela.Chesna@gmail.com,155,6.68
Teddie.Bord@gmail.com,29,621.96
Deedee.Valoniah@gmail.com,76,730.3
Monika.Lasley@gmail.com,16,132.76
Deirdre.Corabella@gmail.com,42,417.36
Kamilah.Desai@gmail.com,33,642.57
Meriel.Behre@gmail.com,92,581.49
Fidelia.Yuille@gmail.com,133,212.58
Justinn.Vilma@gmail.com,113,82.66
Anica.Selway@gmail.com,146,574.89
Grier.Llovera@gmail.com,163,511.16
Jere.Sawtelle@gmail.com,91,916.05
Carmela.Brandice@gmail.com,102,745.27
Marcy.Isidore@gmail.com,98,4.75
Kial.Alcott@gmail.com,17,805.19
Olwen.Cressida@gmail.com,34,493.33
Allyce.Alva@gmail.com,67,258.28
Kristan.Cynar@gmail.com,26,187.48
Therine.Nadia@gmail.com,91,76.92
Konstance.Mandler@gmail.com,142,249.26
Alejandra.Henebry@gmail.com,167,457.61
Vanessa.Bollay@gmail.com,52,527.45
Larine.Dorcy@gmail.com,18,89.33
Joleen.Zrike@gmail.com,70,625.48
Peri.Federica@gmail.com,76,450.52
Christian.Zaslow@gmail.com,91,199.71
Di.Hanleigh@gmail.com,74,735.74
Harrietta.Curren@gmail.com,81,930.21
Gusty.Bivins@gmail.com,162,282.97
Zondra.Miru@gmail.com,19,271.93
Emma.Solitta@gmail.com,100,396.47
Helena.Toor@gmail.com,46,67.34
Meriel.Means@gmail.com,16,664.51
Meghann.Stuart@gmail.com,78,103.6
Cristine.Dex@gmail.com,121,156.07
Kathy.Dorothy@gmail.com,133,293.94
Madelle.Mata@gmail.com,1,746.44
Dania.Carri@gmail.com,114,377.07
Janeczka.Bartlett@gmail.com,26,831.77
Angela.Atcliffe@gmail.com,4,851.22
Kary.Melony@gmail.com,121,962.29
Marti.Torray@gmail.com,47,932.69
Oralee.Ricki@gmail.com,12,624.73
Sophia.Eben@gmail.com,42,651.75
Agathe.Kunin@gmail.com,48,231.07
Mureil.Monk@gmail.com,106,222.18
Rhoda.Lasley@gmail.com,87,782.3
Ruthe.Arathorn@gmail.com,47,897.55
Alyssa.Dalli@gmail.com,93,721.95
Violet.Socha@gmail.com,123,183.9
Hermione.Krystle@gmail.com,93,709.58
Dotty.Brandice@gmail.com,122,395.07
Lily.Aldric@gmail.com,56,376.32
Codie.Hamil@gmail.com,134,886.31
Nikki.Ovid@gmail.com,136,668.75
Judy.Jefferey@gmail.com,42,633.03
Meg.Ogren@gmail.com,116,142.27
Rebeca.Pitt@gmail.com,124,382.29
Anthia.Felecia@gmail.com,60,406.68
Amii.Verger@gmail.com,10,107.92
Brianna.Maroney@gmail.com,157,570.47
Daphne.Redmond@gmail.com,107,891.3
Andeee.Millda@gmail.com,155,786.1
Layla.Presber@gmail.com,80,102.4
Sam.Koehler@gmail.com,147,977.33
Valeda.McAdams@gmail.com,53,75.44
Hope.Doig@gmail.com,24,729.49
Lolita.Rosette@gmail.com,75,597.26
Fayre.Telfer@gmail.com,110,744.08
Myriam.Amasa@gmail.com,95,584.3
Mellicent.Autrey@gmail.com,160,37.73
Daphne.Jefferey@gmail.com,150,805.51
Robinia.Tufts@gmail.com,62,295.07
Consuela.Tjon@gmail.com,87,960.66
Jacenta.Aprile@gmail.com,73,874.24
Jessy.Nore@gmail.com,98,228.1
Daryl.Holbrook@gmail.com,37,149.33
Elmira.Danby@gmail.com,105,561.71
Stephanie.Dreda@gmail.com,23,742.47
Tierney.Harday@gmail.com,108,534.32
Alyssa.Bahr@gmail.com,141,167.62
Ardenia.Fancie@gmail.com,151,324.84
Jennica.Estella@gmail.com,72,399.33
Libbie.Kathie@gmail.com,13,282.25
Chastity.Dimitris@gmail.com,119,406.1
Renae.Lindemann@gmail.com,82,569.23
Josephine.Viddah@gmail.com,23,189.86
Elena.Alice@gmail.com,146,142.28
Christian.Lowry@gmail.com,57,744.49
Courtnay.Weaks@gmail.com,124,76.52
Lanae.Naashom@gmail.com,135,594.95
Valeda.Larochelle@gmail.com,17,9.81
Alameda.Ursulette@gmail.com,115,480.94
Nonnah.Poppy@gmail.com,65,780.32
Oona.Corabella@gmail.com,134,271.58
Kristina.Nisbet@gmail.com,55,197.23
Angelique.Fitzsimmons@gmail.com,165,213.91
Latisha.Roumell@gmail.com,14,409.83
Tressa.Casimir@gmail.com,142,321.37
Ekaterina.Ortrude@gmail.com,123,375.66
Devina.Seumas@gmail.com,154,122.89
Marita.Bury@gmail.com,75,63.83
Valera.Romelda@gmail.com,11,351.34
Jean.Elisha@gmail.com,30,618.9
Katharina.Magdalen@gmail.com,33,629.18
Carolina.Anton@gmail.com,140,578.16
Ira.Lia@gmail.com,52,824.41
Deirdre.Goldina@gmail.com,41,445.62
Kara-Lynn.Lamoree@gmail.com,11,229.39
Lilith.Thunell@gmail.com,75,479.98
Suzette.Ellerey@gmail.com,28,203.45
Ariela.Corabella@gmail.com,46,321.86
Sheree.Shelba@gmail.com,68,514.53
Maurene.Liva@gmail.com,27,357.35
Shirlee.Auberbach@gmail.com,112,45.61
Riannon.Hubert@gmail.com,154,980.13
Emma.Randene@gmail.com,122,55.09
Aurore.Donoghue@gmail.com,108,538.12
Kara-Lynn.Si@gmail.com,97,871.15
Hermione.Bettine@gmail.com,51,531.08
Coral.Cloris@gmail.com,41,540.92
Collen.Infield@gmail.com,118,16.74
Tierney.Wind@gmail.com,156,749.18
Marjie.Yoko@gmail.com,144,53.65
Molli.Remmer@gmail.com,36,867.86
Correy.Clarissa@gmail.com,144,267.52
Ilse.Haerr@gmail.com,15,898.14
Kristina.Jess@gmail.com,146,303.69
Melina.Ahab@gmail.com,118,819.65
Jaime.Fadiman@gmail.com,19,714.23
Mellicent.Maxi@gmail.com,149,256.22
Nannie.Seligman@gmail.com,54,492.29
Cordi.Chrystel@gmail.com,70,866.16
Lily.Ardeha@gmail.com,166,69.05
Lorenza.Letsou@gmail.com,128,330.21
Binny.Bivins@gmail.com,155,937.76
Lonnie.Chesna@gmail.com,17,135.31
Lenna.Mata@gmail.com,84,826.11
Suzette.Marden@gmail.com,24,536.46
Kathy.Lane@gmail.com,162,345.09
Ileana.Emerson@gmail.com,32,641.34
Betta.Lytton@gmail.com,79,638.05
Elmira.Secrest@gmail.com,83,230.33
Yvonne.Bartlett@gmail.com,106,352.21
Clementine.Emmaline@gmail.com,13,117.55
Cyndie.Erskine@gmail.com,85,242.55
Corina.Verger@gmail.com,66,416.81
Reeba.Marden@gmail.com,66,334.52
June.Adore@gmail.com,45,64.24
Donnie.Nadia@gmail.com,60,755.77
Raina.Greyson@gmail.com,106,190.39
Marline.Bryna@gmail.com,141,391.78
Margalo.Evangelia@gmail.com,82,751.34
Ira.Nadia@gmail.com,111,480.98
Karina.Artie@gmail.com,112,57.3
Ardys.Myrilla@gmail.com,44,162.44
Raquela.Weaks@gmail.com,95,588.79
Wendi.Campball@gmail.com,102,839.64
Gavrielle.Allys@gmail.com,21,991.31
Elka.Syd@gmail.com,30,934.78
Dotty.Hazlett@gmail.com,134,336.71
Catrina.Shields@gmail.com,31,356.97
Gabi.Himelman@gmail.com,96,622.83
Gerianna.Fancie@gmail.com,149,374.58
Nadine.Timon@gmail.com,138,755.43
Annabela.Hebner@gmail.com,156,646.68
Edyth.Si@gmail.com,85,784.38
Imojean.Eliathas@gmail.com,143,806.92
Jennica.Greyson@gmail.com,99,389.61
Aubrie.Magnolia@gmail.com,151,493.82
Debee.Blisse@gmail.com,66,546.98
Fredericka.Narton@gmail.com,7,598.36
Hope.Malanie@gmail.com,9,74.67
Rochette.Maryanne@gmail.com,96,736.95
Dulcinea.Rustice@gmail.com,155,802.44
Calla.Rudolph@gmail.com,11,477.24
Harrietta.Grosz@gmail.com,156,780.04
Merci.Bebe@gmail.com,85,7.92
Melina.Corrine@gmail.com,27,832.22
Corene.Noam@gmail.com,37,336.38
Jeanna.Pond@gmail.com,105,196.55
Ericka.Kathie@gmail.com,142,642.74
Yolane.Capello@gmail.com,16,30.58
Juliane.Raseda@gmail.com,44,988.91
Delilah.Hailee@gmail.com,145,548.85
Minda.Ochs@gmail.com,30,312.17
Correy.Yerkovich@gmail.com,37,322.96
Ronna.Aurelio@gmail.com,134,366.48
Janis.Suanne@gmail.com,118,650.05
Tatiania.Trinetta@gmail.com,25,439.01
Kamilah.McGrody@gmail.com,60,243.24
Inga.Kiyoshi@gmail.com,10,467.34
Aigneis.Gaynor@gmail.com,81,727.24
Amalie.Soneson@gmail.com,134,127.75
Mildrid.Nadia@gmail.com,125,18.38
Allyce.Juliet@gmail.com,93,821.39
Noelle.Tiffa@gmail.com,51,82.47
Willetta.Jary@gmail.com,162,859.67
Rori.Dielu@gmail.com,44,887.64
Jackie.Zamora@gmail.com,53,282.55
Leia.Barbey@gmail.com,156,276.48
Collen.Blisse@gmail.com,33,1.8
Valeda.Rosalba@gmail.com,14,134.54
Neila.Lemuela@gmail.com,98,375.03
Edee.Carlson@gmail.com,109,125.02
Rosabelle.Hunfredo@gmail.com,73,334.75
Concettina.Shelba@gmail.com,128,971
Kary.Goddard@gmail.com,150,857.22
Louella.Rodmann@gmail.com,53,382.35
Stephanie.Jacqui@gmail.com,97,751.14
Merle.Anselmi@gmail.com,112,746.31
Janey.Seessel@gmail.com,87,298.74
Grier.Jacobah@gmail.com,14,134.71
Daryl.Joseph@gmail.com,119,952.45
Marnia.Saunderson@gmail.com,39,782.95
Tabbatha.Tryck@gmail.com,32,293.35
Sam.Kannry@gmail.com,129,70.39
Sherrie.Chaing@gmail.com,12,211.41
Shell.Naor@gmail.com,155,47.18
Bernie.Karylin@gmail.com,21,305.25
Binny.Hazlett@gmail.com,55,297.56
Thalia.Rhu@gmail.com,66,400.14
Shirlee.Atonsah@gmail.com,20,333.41
Adele.Morgun@gmail.com,45,67.79
Micheline.Byrne@gmail.com,85,937.61
Shell.Hutchison@gmail.com,71,231.16
Dorthy.Burkle@gmail.com,29,913.91
Clementine.Fry@gmail.com,120,195.28
Dianemarie.MacIntosh@gmail.com,6,787.45
Chastity.Warthman@gmail.com,40,319.8
Maud.Old@gmail.com,28,401.93
Yetty.Tiffa@gmail.com,105,679.74
Ekaterina.Brieta@gmail.com,29,648.81
Rosabelle.Nance@gmail.com,50,904.19
Joelly.Suanne@gmail.com,103,623.8
Lila.Roumell@gmail.com,49,961.24
Tierney.Giff@gmail.com,65,57.27
Reeba.McAdams@gmail.com,33,320.32
Sabina.Seagraves@gmail.com,88,642.49
Julieta.Anestassia@gmail.com,111,289.99
Neila.Dosia@gmail.com,57,728.38
Dari.Fry@gmail.com,18,775.08
Anthia.Sherrie@gmail.com,82,615.18
Candi.Kimmie@gmail.com,43,694.68
Basia.Bow@gmail.com,127,809.91
Shaylyn.Santoro@gmail.com,159,29.76
Norine.Ball@gmail.com,57,74.61
Vonny.Wittie@gmail.com,80,112.43
Cassandra.Birdella@gmail.com,15,474.29
Lila.Malina@gmail.com,16,298.66
Esmeralda.Irmine@gmail.com,30,452.17
Charlena.Deegan@gmail.com,32,696.25
Karolina.Jalbert@gmail.com,97,501.42
Genevra.Bendick@gmail.com,89,842.73
Maridel.Cassius@gmail.com,44,660.68
Carilyn.Salchunas@gmail.com,49,554.13
Starla.Fry@gmail.com,113,61.48
Genevra.Maisey@gmail.com,57,162.03
Lanna.Zola@gmail.com,115,815.66
Ayn.Candy@gmail.com,151,538.02
Delilah.Thomasina@gmail.com,159,562.54
Aurelie.Dowski@gmail.com,146,692.56
Quintina.Ochs@gmail.com,60,231.93
Devina.Anselmi@gmail.com,70,722.34
Roberta.Fabiola@gmail.com,7,885.58
Cecile.Eliathas@gmail.com,36,176.24
Almeta.Cecile@gmail.com,67,356.79
Winifred.Fredi@gmail.com,160,193.74
Nataline.Laverne@gmail.com,150,688.54
Amalie.Denis@gmail.com,112,21.35
Deane.Grosz@gmail.com,160,550.19
Calla.Duwalt@gmail.com,56,756.1
Nicoli.Chick@gmail.com,113,591.82
Harmonia.Estella@gmail.com,20,902.02
Cathyleen.Quinn@gmail.com,58,314.79
Yolane.Toffic@gmail.com,117,199.76
Sophia.Solitta@gmail.com,114,506.12
Briney.Irmine@gmail.com,142,72.5
Nickie.O'Rourke@gmail.com,41,887.4
Bertine.Anyah@gmail.com,148,161.19
Joeann.Eugenia@gmail.com,129,642.03
Konstance.Koziara@gmail.com,164,484.95
Blondelle.Dorothy@gmail.com,77,90.61
Averyl.Harned@gmail.com,5,113.94
Randa.Destinee@gmail.com,30,947.92
Anica.Katrine@gmail.com,6,738.56
Catharine.Pillsbury@gmail.com,123,7.1
Gilda.Masao@gmail.com,29,975.41
Tami.Podvin@gmail.com,150,902.79
Annora.Yuille@gmail.com,164,355.05
Raf.Hachmin@gmail.com,40,997.63
Myriam.Percy@gmail.com,116,782.11
Olivette.Allare@gmail.com,14,749.45
Dale.Thunell@gmail.com,38,678.51
Merci.Zaslow@gmail.com,84,805.35
Willetta.Therine@gmail.com,75,704
Kaia.Anton@gmail.com,85,109.66
Miquela.Korey@gmail.com,28,227.55
Winifred.Morrill@gmail.com,58,73.56
Dagmar.Oriana@gmail.com,138,96.84
Mireielle.Jerald@gmail.com,3,470.02
Chere.Lareena@gmail.com,54,685.73
Neila.Bakerman@gmail.com,121,197.46
Jere.Eiser@gmail.com,54,365.73
Ivett.Dahlia@gmail.com,129,691.57
Jaime.Eugenia@gmail.com,124,250.54
Gilda.Alice@gmail.com,90,747.09
Vinita.Atcliffe@gmail.com,34,99.36
Iseabal.Ursulette@gmail.com,94,889.34
Janeczka.McNully@gmail.com,66,330.19
Pamella.Solitta@gmail.com,37,374.52
Joy.Sammons@gmail.com,145,677.87
Marinna.Goth@gmail.com,78,702.82
Almeta.Cressida@gmail.com,13,446.01
Sam.Stacy@gmail.com,119,60.7
Fernande.Huggins@gmail.com,139,3.25
Peri.Vary@gmail.com,55,744.53
Maridel.Smitt@gmail.com,165,459.36
Chrystel.Geffner@gmail.com,74,942.28
Sheelagh.Vorster@gmail.com,118,619.54
Jorry.Corabella@gmail.com,79,139.88
Queenie.Tamar@gmail.com,102,394.11
Berta.Kalinda@gmail.com,82,516.34
Aaren.Ferrell@gmail.com,83,937.7
Sophia.Torray@gmail.com,5,459.17
Maud.Wesle@gmail.com,93,704.68
Misha.Ade@gmail.com,88,456.36
Atlanta.Eldrid@gmail.com,105,397.2
Brena.Drus@gmail.com,66,684.72
Brianna.Tryck@gmail.com,89,680.96
Helena.Tamsky@gmail.com,111,7.58
Karina.Monk@gmail.com,66,547.62
Judy.Eben@gmail.com,121,539.53
Sallie.Hailee@gmail.com,26,546.57
Edith.Briney@gmail.com,32,304.93
Hannis.Gunn@gmail.com,157,188.19
Merci.Miru@gmail.com,53,126.33
Edith.Peg@gmail.com,118,261.89
Pamella.Hanleigh@gmail.com,87,983.48
Charmaine.Lissi@gmail.com,5,703.91
Bettine.Tristram@gmail.com,56,315.1
Dominga.Jerold@gmail.com,98,343.61
Tamqrah.Delp@gmail.com,12,883.74
Shannah.Suanne@gmail.com,19,162.85
Corly.Dorothy@gmail.com,15,317.97
Celestyna.Ivens@gmail.com,61,7.59
Shauna.Ax@gmail.com,75,448.07
Dorothy.Callista@gmail.com,83,412.52
Teddie.Maribeth@gmail.com,119,536.48
Georgina.Rebecka@gmail.com,10,52.94
Gusty.Michella@gmail.com,109,166.06
Marguerite.Kiyoshi@gmail.com,119,19.29
Rubie.Federica@gmail.com,62,628.24
Fanchon.Kiersten@gmail.com,135,876.09
Clementine.Clarissa@gmail.com,68,574.89
Pollyanna.Norrie@gmail.com,100,915.9
Berget.Huggins@gmail.com,70,932.75
Ninnetta.Lesley@gmail.com,105,437.75
Jobi.Cecile@gmail.com,80,872.87
Dorene.Reinke@gmail.com,51,145.46
Myriam.Faso@gmail.com,21,420.08
Asia.Minetta@gmail.com,135,568.78
Kara-Lynn.Kalinda@gmail.com,40,825.18
Agnese.Ajay@gmail.com,119,393.29
Alleen.Felecia@gmail.com,24,249.94
Stephanie.Japeth@gmail.com,124,441.02
Sonni.Blake@gmail.com,120,244.99
Annecorinne.Infield@gmail.com,125,723.95
Lucille.Bach@gmail.com,86,209.53
Modestia.Docilla@gmail.com,31,779.98
Elena.Vittoria@gmail.com,109,114.49
Roz.Juliet@gmail.com,19,2.71
Ardeen.Grosz@gmail.com,158,769.36
Jany.Land@gmail.com,122,361
Roseline.Dominy@gmail.com,127,74.59
Leontine.Ashok@gmail.com,166,601.74
Kara-Lynn.Raseda@gmail.com,140,877.66
Maisey.Brodench@gmail.com,109,128.26
Nita.Fredi@gmail.com,128,795.43
Marcy.Masao@gmail.com,86,752.4
Babita.Dielu@gmail.com,113,165.37
Lucille.Fiester@gmail.com,97,785.07
Lorenza.Jammal@gmail.com,123,279.21
Consuela.Nance@gmail.com,146,924.83
Dagmar.Sigfrid@gmail.com,108,953.76
Peri.Even@gmail.com,133,750.55
Aubrie.Talia@gmail.com,109,912.38
Queenie.Damarra@gmail.com,57,872.69
Sharlene.O'Carroll@gmail.com,109,524.08
Keelia.LaRue@gmail.com,159,911.97
Micheline.Bahr@gmail.com,79,520.41
Flo.Deny@gmail.com,134,627.61
Lorenza.Creamer@gmail.com,85,515.22
Gwenneth.Philipp@gmail.com,83,626.97
Jackie.Jerold@gmail.com,59,516.87
Tiffie.Herrera@gmail.com,139,127.92
Loree.Ethban@gmail.com,12,401.85
Estell.Herrera@gmail.com,59,320.59
Ekaterina.Lubin@gmail.com,25,924.1
Karly.Hazlett@gmail.com,104,398.89
Arlena.Doig@gmail.com,18,749.54
Alie.Frendel@gmail.com,140,785.77
Chandra.Gilmour@gmail.com,128,583.77
Shaylyn.Phyllis@gmail.com,165,444.05
Ninnetta.Dunkin@gmail.com,144,274.81
Giustina.Kelula@gmail.com,36,765.58
Amii.Cornelia@gmail.com,66,551.18
Jorry.Zuzana@gmail.com,148,40.54
Maud.Ellord@gmail.com,139,880.07
Adore.Sawtelle@gmail.com,72,60.89
Cordi.Bartlett@gmail.com,81,616.98
Dawn.Brodench@gmail.com,61,235.06
Brandise.Bollay@gmail.com,43,116.12
Eugine.Cordi@gmail.com,100,866.42
Giustina.Nelsen@gmail.com,66,420.92
Fawne.Dom@gmail.com,144,716.19
Diena.Dalli@gmail.com,27,260.72
Shauna.Himelman@gmail.com,40,595.94
Annora.Suanne@gmail.com,91,469.76
Ileana.Felizio@gmail.com,136,313.42
Adele.Modie@gmail.com,57,331.33
Meriel.Luhe@gmail.com,54,75.13
Deloria.Schalles@gmail.com,165,42.15
Ulrike.Belldas@gmail.com,157,735.78
Marnia.Juliet@gmail.com,85,625.78
Stevana.Zetta@gmail.com,67,516.94
Ursulina.Aprile@gmail.com,115,772.64
Morganica.Sibyls@gmail.com,165,428.49
Roberta.Monaco@gmail.com,117,945.23
