emailID,likes_channelID,likesWatch_time
Tori.Killigrew@gmail.com,26,4.12
Mariele.McCutcheon@gmail.com,54,4.42
Nataline.Candy@gmail.com,158,5.57
Roberta.Chaing@gmail.com,88,1.68
Molli.Maisey@gmail.com,35,5.6
Sybille.Sikorski@gmail.com,95,2.7
Desirae.Kenwood@gmail.com,80,3.67
Mellicent.Kunin@gmail.com,166,5.08
Elmira.Elisha@gmail.com,131,1.61
Sam.Kenney@gmail.com,147,5.99
Teddie.Gregrory@gmail.com,73,1.28
Linzy.Candy@gmail.com,93,4.02
Lorie.Grobe@gmail.com,150,2.87
Bee.Ezar@gmail.com,166,1.52
Stephanie.Dorcy@gmail.com,76,3.13
Regina.Lareena@gmail.com,33,1.28
Gui.Gunn@gmail.com,123,4.21
Tori.Sallyann@gmail.com,102,1.8
Sibella.Roarke@gmail.com,93,1.98
Damaris.Vernier@gmail.com,155,5.03
Minne.Blake@gmail.com,130,1.4
Linzy.Kellby@gmail.com,139,4.44
Marguerite.McGrody@gmail.com,150,1.45
Stacey.Earlie@gmail.com,26,1.27
Kayla.Naashom@gmail.com,55,5.58
Amalie.Creamer@gmail.com,133,2.11
Harrietta.Abbot@gmail.com,41,3.86
Charlena.Kosey@gmail.com,10,5.38
Ida.Sprage@gmail.com,116,4.22
Gisela.Chesna@gmail.com,159,3.1
Teddie.Bord@gmail.com,45,3.34
Deedee.Valoniah@gmail.com,52,5.67
Monika.Lasley@gmail.com,18,5.65
Deirdre.Corabella@gmail.com,67,4.35
Kamilah.Desai@gmail.com,50,2.57
Meriel.Behre@gmail.com,2,2.97
Fidelia.Yuille@gmail.com,92,5.87
Justinn.Vilma@gmail.com,117,2.42
Anica.Selway@gmail.com,48,3.12
Grier.Llovera@gmail.com,12,3.52
Jere.Sawtelle@gmail.com,96,4.22
Carmela.Brandice@gmail.com,105,4.07
Marcy.Isidore@gmail.com,65,2.43
Kial.Alcott@gmail.com,5,4.62
Olwen.Cressida@gmail.com,30,1.45
Allyce.Alva@gmail.com,143,3.31
Kristan.Cynar@gmail.com,122,2.89
Therine.Nadia@gmail.com,89,3.22
Konstance.Mandler@gmail.com,122,3.9
Alejandra.Henebry@gmail.com,1,1.47
Vanessa.Bollay@gmail.com,61,5.35
Larine.Dorcy@gmail.com,158,1.31
Joleen.Zrike@gmail.com,164,2.35
Peri.Federica@gmail.com,148,1.5
Christian.Zaslow@gmail.com,109,2.88
Di.Hanleigh@gmail.com,68,4.26
Harrietta.Curren@gmail.com,60,3.17
Gusty.Bivins@gmail.com,125,3.75
Zondra.Miru@gmail.com,87,3.79
Emma.Solitta@gmail.com,68,5.81
Helena.Toor@gmail.com,106,2.06
Meriel.Means@gmail.com,130,1.25
Meghann.Stuart@gmail.com,49,2.39
Cristine.Dex@gmail.com,57,1.44
Kathy.Dorothy@gmail.com,65,3
Madelle.Mata@gmail.com,118,4.93
Dania.Carri@gmail.com,12,3.59
Janeczka.Bartlett@gmail.com,136,2.04
Angela.Atcliffe@gmail.com,37,1.52
Kary.Melony@gmail.com,91,3.24
Marti.Torray@gmail.com,49,5.7
Oralee.Ricki@gmail.com,161,3.94
Sophia.Eben@gmail.com,111,5.51
Agathe.Kunin@gmail.com,25,1.08
Mureil.Monk@gmail.com,89,2.24
Rhoda.Lasley@gmail.com,106,3.72
Ruthe.Arathorn@gmail.com,65,3.01
Alyssa.Dalli@gmail.com,65,5.22
Violet.Socha@gmail.com,35,4.04
Hermione.Krystle@gmail.com,65,1.44
Dotty.Brandice@gmail.com,109,5.9
Lily.Aldric@gmail.com,151,3.05
Codie.Hamil@gmail.com,94,4.7
Nikki.Ovid@gmail.com,29,5.63
Judy.Jefferey@gmail.com,135,3.14
Meg.Ogren@gmail.com,12,4.64
Rebeca.Pitt@gmail.com,139,2.35
Anthia.Felecia@gmail.com,35,1.89
Amii.Verger@gmail.com,114,3.38
Brianna.Maroney@gmail.com,119,1.23
Daphne.Redmond@gmail.com,58,4.79
Andeee.Millda@gmail.com,45,3.13
Layla.Presber@gmail.com,88,5.41
Sam.Koehler@gmail.com,88,3.81
Valeda.McAdams@gmail.com,68,2.1
Hope.Doig@gmail.com,103,3.55
Lolita.Rosette@gmail.com,125,3.56
Fayre.Telfer@gmail.com,70,4.42
Myriam.Amasa@gmail.com,82,1.93
Mellicent.Autrey@gmail.com,76,1.67
Daphne.Jefferey@gmail.com,4,2.42
Robinia.Tufts@gmail.com,94,4.23
Consuela.Tjon@gmail.com,98,1.48
Jacenta.Aprile@gmail.com,46,2.87
Jessy.Nore@gmail.com,124,2.76
Daryl.Holbrook@gmail.com,29,2.96
Elmira.Danby@gmail.com,46,2.64
Stephanie.Dreda@gmail.com,84,5.3
Tierney.Harday@gmail.com,59,5.17
Alyssa.Bahr@gmail.com,147,2.97
Ardenia.Fancie@gmail.com,153,1.21
Jennica.Estella@gmail.com,76,1.6
Libbie.Kathie@gmail.com,113,3.97
Chastity.Dimitris@gmail.com,167,1.66
Renae.Lindemann@gmail.com,40,5.26
Josephine.Viddah@gmail.com,146,5.3
Elena.Alice@gmail.com,159,1.22
Christian.Lowry@gmail.com,115,5.62
Courtnay.Weaks@gmail.com,47,2.36
Lanae.Naashom@gmail.com,95,3.13
Valeda.Larochelle@gmail.com,87,3.37
Alameda.Ursulette@gmail.com,1,2.54
Nonnah.Poppy@gmail.com,92,4.67
Oona.Corabella@gmail.com,165,4.91
Kristina.Nisbet@gmail.com,153,4.73
Angelique.Fitzsimmons@gmail.com,131,4.51
Latisha.Roumell@gmail.com,155,1.39
Tressa.Casimir@gmail.com,12,5.46
Ekaterina.Ortrude@gmail.com,79,3.68
Devina.Seumas@gmail.com,149,3.28
Marita.Bury@gmail.com,67,3.71
Valera.Romelda@gmail.com,81,5.58
Jean.Elisha@gmail.com,55,3.68
Katharina.Magdalen@gmail.com,10,1.41
Carolina.Anton@gmail.com,150,4.36
Ira.Lia@gmail.com,63,3.87
Deirdre.Goldina@gmail.com,73,5.01
Kara-Lynn.Lamoree@gmail.com,94,4.41
Lilith.Thunell@gmail.com,75,1.72
Suzette.Ellerey@gmail.com,123,1.47
Ariela.Corabella@gmail.com,5,1.37
Sheree.Shelba@gmail.com,30,2.04
Maurene.Liva@gmail.com,54,5.65
Shirlee.Auberbach@gmail.com,114,3.96
Riannon.Hubert@gmail.com,111,2.89
Emma.Randene@gmail.com,8,3.41
Aurore.Donoghue@gmail.com,65,5.67
Kara-Lynn.Si@gmail.com,148,4.25
Hermione.Bettine@gmail.com,64,4.41
Coral.Cloris@gmail.com,72,1.03
Collen.Infield@gmail.com,115,1.81
Tierney.Wind@gmail.com,87,2.38
Marjie.Yoko@gmail.com,66,2.24
Molli.Remmer@gmail.com,41,1.81
Correy.Clarissa@gmail.com,116,3.26
Ilse.Haerr@gmail.com,129,2.11
Kristina.Jess@gmail.com,144,1.72
Melina.Ahab@gmail.com,144,4.51
Jaime.Fadiman@gmail.com,144,4.45
Mellicent.Maxi@gmail.com,55,2.43
Nannie.Seligman@gmail.com,127,4.25
Cordi.Chrystel@gmail.com,102,2.34
Lily.Ardeha@gmail.com,16,4.79
Lorenza.Letsou@gmail.com,60,5.67
Binny.Bivins@gmail.com,26,5.59
Lonnie.Chesna@gmail.com,52,4.98
Lenna.Mata@gmail.com,35,2.36
Suzette.Marden@gmail.com,45,1.49
Kathy.Lane@gmail.com,21,4.86
Ileana.Emerson@gmail.com,60,5.08
Betta.Lytton@gmail.com,62,2.45
Elmira.Secrest@gmail.com,159,2.1
Yvonne.Bartlett@gmail.com,16,2.71
Clementine.Emmaline@gmail.com,123,5.89
Cyndie.Erskine@gmail.com,102,5.75
Corina.Verger@gmail.com,22,3.55
Reeba.Marden@gmail.com,130,4.31
June.Adore@gmail.com,66,3.66
Donnie.Nadia@gmail.com,80,2.69
Raina.Greyson@gmail.com,151,2.98
Marline.Bryna@gmail.com,82,4.87
Margalo.Evangelia@gmail.com,12,2.56
Ira.Nadia@gmail.com,18,4.83
Karina.Artie@gmail.com,158,3.69
Ardys.Myrilla@gmail.com,134,3.15
Raquela.Weaks@gmail.com,44,2.11
Wendi.Campball@gmail.com,12,4.2
Gavrielle.Allys@gmail.com,164,1.37
Elka.Syd@gmail.com,28,4.27
Dotty.Hazlett@gmail.com,52,3.37
Catrina.Shields@gmail.com,19,4.93
Gabi.Himelman@gmail.com,110,4.9
Gerianna.Fancie@gmail.com,122,1.29
Nadine.Timon@gmail.com,134,4.08
Annabela.Hebner@gmail.com,151,5.24
Edyth.Si@gmail.com,74,2.49
Imojean.Eliathas@gmail.com,45,3.25
Jennica.Greyson@gmail.com,161,3.53
Aubrie.Magnolia@gmail.com,153,3.27
Debee.Blisse@gmail.com,53,1.87
Fredericka.Narton@gmail.com,129,4.03
Hope.Malanie@gmail.com,78,1.19
Rochette.Maryanne@gmail.com,114,5.16
Dulcinea.Rustice@gmail.com,63,1.33
Calla.Rudolph@gmail.com,158,2.47
Harrietta.Grosz@gmail.com,6,2.49
Merci.Bebe@gmail.com,118,3.53
Melina.Corrine@gmail.com,79,2.6
Corene.Noam@gmail.com,11,2.43
Jeanna.Pond@gmail.com,107,4.02
Ericka.Kathie@gmail.com,38,2.08
Yolane.Capello@gmail.com,73,4.76
Juliane.Raseda@gmail.com,12,5.29
Delilah.Hailee@gmail.com,51,4.75
Minda.Ochs@gmail.com,44,3.91
Correy.Yerkovich@gmail.com,18,3.49
Ronna.Aurelio@gmail.com,59,3.33
Janis.Suanne@gmail.com,61,5.52
Tatiania.Trinetta@gmail.com,3,5.78
Kamilah.McGrody@gmail.com,103,5.91
Inga.Kiyoshi@gmail.com,137,2.35
Aigneis.Gaynor@gmail.com,14,5.13
Amalie.Soneson@gmail.com,86,3.15
Mildrid.Nadia@gmail.com,134,3.86
Allyce.Juliet@gmail.com,91,4.64
Noelle.Tiffa@gmail.com,105,2.99
Willetta.Jary@gmail.com,6,1.88
Rori.Dielu@gmail.com,166,4.14
Jackie.Zamora@gmail.com,60,3.95
Leia.Barbey@gmail.com,96,4.55
Collen.Blisse@gmail.com,15,4.31
AasthaDubey210@gmail.com,162,400.12
Neila.Lemuela@gmail.com,37,4.87
Edee.Carlson@gmail.com,63,3.73
Rosabelle.Hunfredo@gmail.com,134,5.32
Concettina.Shelba@gmail.com,100,3.11
Kary.Goddard@gmail.com,107,5.64
Louella.Rodmann@gmail.com,105,5.22
Stephanie.Jacqui@gmail.com,12,4.88
Merle.Anselmi@gmail.com,124,2.26
Janey.Seessel@gmail.com,149,3.55
Grier.Jacobah@gmail.com,47,2.06
Daryl.Joseph@gmail.com,77,5.06
Marnia.Saunderson@gmail.com,101,4.63
Tabbatha.Tryck@gmail.com,33,1.86
Sam.Kannry@gmail.com,114,3.42
Sherrie.Chaing@gmail.com,19,3.16
Shell.Naor@gmail.com,110,1.93
Bernie.Karylin@gmail.com,59,2.29
Binny.Hazlett@gmail.com,95,5.24
Thalia.Rhu@gmail.com,34,4.28
Shirlee.Atonsah@gmail.com,121,2.53
Adele.Morgun@gmail.com,109,5.03
Micheline.Byrne@gmail.com,30,4.49
Shell.Hutchison@gmail.com,27,1.75
Dorthy.Burkle@gmail.com,11,1.52
Clementine.Fry@gmail.com,14,5.4
Dianemarie.MacIntosh@gmail.com,38,5.2
Chastity.Warthman@gmail.com,163,4.3
Maud.Old@gmail.com,73,3.47
Yetty.Tiffa@gmail.com,15,4.26
Ekaterina.Brieta@gmail.com,78,1.07
Rosabelle.Nance@gmail.com,99,1.8
Joelly.Suanne@gmail.com,131,3.42
Lila.Roumell@gmail.com,42,2.23
Tierney.Giff@gmail.com,114,2.57
Reeba.McAdams@gmail.com,30,5.06
Sabina.Seagraves@gmail.com,44,4.77
Julieta.Anestassia@gmail.com,2,3.79
Neila.Dosia@gmail.com,48,2.79
Dari.Fry@gmail.com,91,3.53
Anthia.Sherrie@gmail.com,4,5.78
Candi.Kimmie@gmail.com,104,1.96
Basia.Bow@gmail.com,53,1.57
Shaylyn.Santoro@gmail.com,140,5.19
Norine.Ball@gmail.com,86,5.46
Vonny.Wittie@gmail.com,13,1.78
Cassandra.Birdella@gmail.com,152,2.22
Lila.Malina@gmail.com,10,5.95
Esmeralda.Irmine@gmail.com,108,1.81
Charlena.Deegan@gmail.com,40,4.33
Karolina.Jalbert@gmail.com,79,2.39
Genevra.Bendick@gmail.com,146,2.77
Maridel.Cassius@gmail.com,114,4.92
Carilyn.Salchunas@gmail.com,59,4.31
Starla.Fry@gmail.com,53,4.69
Genevra.Maisey@gmail.com,70,1.55
Lanna.Zola@gmail.com,144,5.56
Ayn.Candy@gmail.com,84,3.31
Delilah.Thomasina@gmail.com,56,1.56
Aurelie.Dowski@gmail.com,29,3.5
Quintina.Ochs@gmail.com,148,1.11
Devina.Anselmi@gmail.com,57,3.4
Roberta.Fabiola@gmail.com,109,2.19
Cecile.Eliathas@gmail.com,56,5.98
Almeta.Cecile@gmail.com,31,3.45
Winifred.Fredi@gmail.com,46,4.45
Nataline.Laverne@gmail.com,161,5.49
Amalie.Denis@gmail.com,75,2.55
Deane.Grosz@gmail.com,133,2.59
Calla.Duwalt@gmail.com,76,4.24
Nicoli.Chick@gmail.com,17,3.86
Harmonia.Estella@gmail.com,5,2.93
Cathyleen.Quinn@gmail.com,158,4.07
Yolane.Toffic@gmail.com,157,2.78
Sophia.Solitta@gmail.com,116,2.78
Briney.Irmine@gmail.com,52,2.95
Nickie.O'Rourke@gmail.com,85,2.65
Bertine.Anyah@gmail.com,28,3.03
Joeann.Eugenia@gmail.com,15,2.84
Konstance.Koziara@gmail.com,97,2.05
Blondelle.Dorothy@gmail.com,105,5.76
Averyl.Harned@gmail.com,143,5.89
Randa.Destinee@gmail.com,82,3.45
Anica.Katrine@gmail.com,44,5.98
Catharine.Pillsbury@gmail.com,143,4.05
Gilda.Masao@gmail.com,128,5.07
Tami.Podvin@gmail.com,96,4
Annora.Yuille@gmail.com,67,4.89
Raf.Hachmin@gmail.com,32,4.2
Myriam.Percy@gmail.com,159,1.16
Olivette.Allare@gmail.com,153,5.23
Dale.Thunell@gmail.com,24,2.51
Merci.Zaslow@gmail.com,14,4.37
Willetta.Therine@gmail.com,137,5.95
Kaia.Anton@gmail.com,14,3.41
Miquela.Korey@gmail.com,74,3.04
Winifred.Morrill@gmail.com,144,4.9
Dagmar.Oriana@gmail.com,95,2.21
Mireielle.Jerald@gmail.com,153,3.35
Chere.Lareena@gmail.com,120,4.98
Neila.Bakerman@gmail.com,141,3.04
Jere.Eiser@gmail.com,22,3.39
Ivett.Dahlia@gmail.com,1,3.33
Jaime.Eugenia@gmail.com,4,1.43
Gilda.Alice@gmail.com,8,4.87
Vinita.Atcliffe@gmail.com,92,3.85
Iseabal.Ursulette@gmail.com,53,4.88
Janeczka.McNully@gmail.com,93,1.14
Pamella.Solitta@gmail.com,107,4.78
Joy.Sammons@gmail.com,104,3.31
Marinna.Goth@gmail.com,71,4.24
Almeta.Cressida@gmail.com,24,2.04
Sam.Stacy@gmail.com,44,1.35
Fernande.Huggins@gmail.com,17,3.8
Peri.Vary@gmail.com,90,2.41
Maridel.Smitt@gmail.com,159,1.8
Chrystel.Geffner@gmail.com,40,1.52
Sheelagh.Vorster@gmail.com,154,3.01
Jorry.Corabella@gmail.com,139,5.74
Queenie.Tamar@gmail.com,13,1.08
Berta.Kalinda@gmail.com,59,5.46
Aaren.Ferrell@gmail.com,120,2.83
Sophia.Torray@gmail.com,17,3.2
Maud.Wesle@gmail.com,152,1.46
Misha.Ade@gmail.com,142,4.78
Atlanta.Eldrid@gmail.com,70,1.97
Brena.Drus@gmail.com,92,3.88
Brianna.Tryck@gmail.com,16,1.62
Helena.Tamsky@gmail.com,167,3.83
Karina.Monk@gmail.com,54,5.52
Judy.Eben@gmail.com,4,1.07
Sallie.Hailee@gmail.com,24,3.46
Edith.Briney@gmail.com,151,1.98
Hannis.Gunn@gmail.com,83,5.96
Merci.Miru@gmail.com,140,2.06
Edith.Peg@gmail.com,115,5.42
Pamella.Hanleigh@gmail.com,73,2.69
Charmaine.Lissi@gmail.com,53,3.3
Bettine.Tristram@gmail.com,55,4.35
Dominga.Jerold@gmail.com,35,2.22
Tamqrah.Delp@gmail.com,116,2.01
Shannah.Suanne@gmail.com,156,1.92
Corly.Dorothy@gmail.com,22,5.95
Celestyna.Ivens@gmail.com,139,2.26
Shauna.Ax@gmail.com,66,3.26
Dorothy.Callista@gmail.com,17,3.61
Teddie.Maribeth@gmail.com,67,5.08
Georgina.Rebecka@gmail.com,96,4.19
Gusty.Michella@gmail.com,19,2.1
Marguerite.Kiyoshi@gmail.com,42,2.89
Rubie.Federica@gmail.com,159,4.56
Fanchon.Kiersten@gmail.com,156,5.91
Clementine.Clarissa@gmail.com,40,5.74
Pollyanna.Norrie@gmail.com,81,5.53
Berget.Huggins@gmail.com,133,5.96
Ninnetta.Lesley@gmail.com,120,5.26
Jobi.Cecile@gmail.com,103,2.41
Dorene.Reinke@gmail.com,48,5.14
Myriam.Faso@gmail.com,99,4.89
Asia.Minetta@gmail.com,102,1.76
Kara-Lynn.Kalinda@gmail.com,4,1.99
Agnese.Ajay@gmail.com,160,5.04
Alleen.Felecia@gmail.com,163,5.75
Stephanie.Japeth@gmail.com,72,2.26
Sonni.Blake@gmail.com,34,5.79
Annecorinne.Infield@gmail.com,76,5.39
Lucille.Bach@gmail.com,60,5.13
Modestia.Docilla@gmail.com,57,3.74
Elena.Vittoria@gmail.com,2,1.75
Roz.Juliet@gmail.com,83,1.23
Ardeen.Grosz@gmail.com,58,5.67
Jany.Land@gmail.com,99,4.97
Roseline.Dominy@gmail.com,153,4.25
Leontine.Ashok@gmail.com,99,2.22
Kara-Lynn.Raseda@gmail.com,42,3.9
Maisey.Brodench@gmail.com,128,4.15
Nita.Fredi@gmail.com,136,4.89
Marcy.Masao@gmail.com,101,4.77
Babita.Dielu@gmail.com,7,2.5
Lucille.Fiester@gmail.com,12,3.24
Lorenza.Jammal@gmail.com,58,5.71
Consuela.Nance@gmail.com,159,5.64
Dagmar.Sigfrid@gmail.com,92,5.84
Peri.Even@gmail.com,53,5.49
Aubrie.Talia@gmail.com,160,4.58
Queenie.Damarra@gmail.com,107,2.02
Sharlene.O'Carroll@gmail.com,159,2.01
Keelia.LaRue@gmail.com,90,2.67
Micheline.Bahr@gmail.com,162,3.19
Flo.Deny@gmail.com,84,2.99
Lorenza.Creamer@gmail.com,164,5.24
Gwenneth.Philipp@gmail.com,101,3.53
Jackie.Jerold@gmail.com,92,4.52
Tiffie.Herrera@gmail.com,41,2.11
Loree.Ethban@gmail.com,125,5.48
Estell.Herrera@gmail.com,81,3.31
Ekaterina.Lubin@gmail.com,4,5.95
Karly.Hazlett@gmail.com,134,5.67
Arlena.Doig@gmail.com,28,4.77
Alie.Frendel@gmail.com,153,1.06
Chandra.Gilmour@gmail.com,143,4.45
Shaylyn.Phyllis@gmail.com,147,1.27
Ninnetta.Dunkin@gmail.com,19,5.95
Giustina.Kelula@gmail.com,75,2.32
Amii.Cornelia@gmail.com,83,4.46
Jorry.Zuzana@gmail.com,109,3
Maud.Ellord@gmail.com,79,3.39
Adore.Sawtelle@gmail.com,116,5.34
Cordi.Bartlett@gmail.com,148,4.39
Dawn.Brodench@gmail.com,21,1.29
Brandise.Bollay@gmail.com,20,1.69
Eugine.Cordi@gmail.com,45,3.45
Giustina.Nelsen@gmail.com,95,2.52
Fawne.Dom@gmail.com,106,4.81
Diena.Dalli@gmail.com,44,4.85
Shauna.Himelman@gmail.com,71,5.1
Annora.Suanne@gmail.com,88,4.43
Ileana.Felizio@gmail.com,10,4.11
Adele.Modie@gmail.com,77,4.32
Meriel.Luhe@gmail.com,2,5.8
Deloria.Schalles@gmail.com,128,2.21
Ulrike.Belldas@gmail.com,85,5.09
Marnia.Juliet@gmail.com,159,2.05
Stevana.Zetta@gmail.com,146,4.92
Ursulina.Aprile@gmail.com,2,3.19
Morganica.Sibyls@gmail.com,139,3.07
Roberta.Monaco@gmail.com,12,1.82
